ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
1618788,2147483089,4,4
1618788,2147483090,4,4
1618788,2147483091,4,4
1618788,2147483092,4,4
1618788,2147483117,4,4
1618788,2147483130,4,5
1618788,2147483131,5,5
1618788,2147483171,4,4
1618788,2147483234,4,4
1618788,2147483253,4,4
1618788,2147483254,5,5
1618788,2147483255,5,5
1618788,2147483262,4,4
1618788,2147483263,4,4
1618788,2147483264,4,4
1618788,2147483265,4,4
1618788,2147483303,4,4
1618788,2147483476,4,4
1618788,2147483479,4,4
1618789,2147483081,3,3
1618789,2147483130,3,3
1618789,2147483234,3,3
1618789,2147483303,3,3
1618812,2147483076,4,4
1618812,2147483081,4,4
1618812,2147483130,4,4
1618812,2147483131,4,4
1618812,2147483234,4,4
1618812,2147483303,4,4
1618939,2147483130,4,4
1618939,2147483131,4,4
1619005,2147483133,3,3
1619005,2147483280,3,3
1619005,2147483281,3,3
1619005,2147483282,3,3
1619005,2147483283,3,3
1619005,2147483284,3,3
1619005,2147483286,3,3
1619005,2147483288,3,3
1619005,2147483289,3,3
1619005,2147483290,3,3
1619006,2147483130,3,3
1619006,2147483131,3,3
1621298,2147483532,3,3
1761394,2147483130,2,2
1761451,2147483076,2,2
1761451,2147483532,2,2
1761570,2147483076,2,2
1761570,2147483532,2,2
1761597,2147483081,2,2
1761680,2147483282,2,2
1761982,2147483076,5,10
1761982,2147483079,4,4
1761982,2147483081,5,9
1761982,2147483083,4,7
1761982,2147483084,4,7
1761982,2147483085,4,7
1761982,2147483086,4,7
1761982,2147483087,4,7
1761982,2147483088,4,7
1761982,2147483089,4,7
1761982,2147483090,4,7
1761982,2147483091,4,7
1761982,2147483092,4,7
1761982,2147483117,4,7
1761982,2147483127,5,7
1761982,2147483128,5,7
1761982,2147483129,5,7
1761982,2147483130,4,9
1761982,2147483131,5,9
1761982,2147483133,4,6
1761982,2147483137,4,4
1761982,2147483171,4,7
1761982,2147483181,4,6
1761982,2147483184,4,5
1761982,2147483185,4,5
1761982,2147483186,4,5
1761982,2147483187,4,4
1761982,2147483188,4,4
1761982,2147483189,4,4
1761982,2147483190,4,4
1761982,2147483191,4,4
1761982,2147483192,4,4
1761982,2147483193,4,4
1761982,2147483194,4,4
1761982,2147483195,4,4
1761982,2147483196,4,4
1761982,2147483197,4,4
1761982,2147483198,4,4
1761982,2147483199,4,4
1761982,2147483200,4,4
1761982,2147483201,4,4
1761982,2147483202,4,4
1761982,2147483203,4,4
1761982,2147483204,4,4
1761982,2147483205,4,4
1761982,2147483206,4,4
1761982,2147483207,4,4
1761982,2147483208,4,4
1761982,2147483209,4,4
1761982,2147483231,5,5
1761982,2147483232,5,5
1761982,2147483233,5,5
1761982,2147483234,5,8
1761982,2147483237,5,5
1761982,2147483238,5,5
1761982,2147483241,5,5
1761982,2147483243,5,5
1761982,2147483251,5,6
1761982,2147483253,4,7
1761982,2147483254,4,8
1761982,2147483255,4,8
1761982,2147483257,5,5
1761982,2147483259,5,5
1761982,2147483261,4,4
1761982,2147483262,4,7
1761982,2147483263,4,7
1761982,2147483264,4,7
1761982,2147483265,4,7
1761982,2147483280,4,6
1761982,2147483281,4,6
1761982,2147483282,4,6
1761982,2147483283,4,6
1761982,2147483284,4,6
1761982,2147483285,4,4
1761982,2147483286,4,6
1761982,2147483288,4,6
1761982,2147483289,4,6
1761982,2147483290,4,6
1761982,2147483296,4,5
1761982,2147483297,4,5
1761982,2147483298,4,5
1761982,2147483299,4,5
1761982,2147483300,4,5
1761982,2147483301,4,5
1761982,2147483302,4,5
1761982,2147483303,5,8
1761982,2147483473,4,6
1761982,2147483476,4,7
1761982,2147483477,4,5
1761982,2147483478,4,5
1761982,2147483479,4,7
1761982,2147483488,4,4
1761982,2147483489,4,4
1761982,2147483490,4,4
1761982,2147483491,4,4
1761982,2147483492,4,4
1761982,2147483493,4,4
1761982,2147483494,4,4
1761982,2147483497,5,5
1761982,2147483498,5,5
1761982,2147483499,5,5
1761982,2147483512,5,5
1761982,2147483527,4,4
1761982,2147483528,4,4
1761982,2147483529,4,4
1761982,2147483530,4,4
1761982,2147483531,4,4
1761982,2147483532,4,6
1761982,2147483537,4,4
1761982,2147483553,4,6
1761982,2147483554,4,6
1761982,2147483565,5,5
1761982,2147483567,4,7
1761982,2147483573,5,5
1761982,2147483588,4,4
1761982,2147483605,4,4
1761982,2147483610,4,4
1761982,2147483626,5,8
1761982,2147483634,5,5
1761982,2147483637,5,5
1761982,2147483640,5,7
1988299,2147483282,2,2
1988420,2147483081,3,3
1988427,2147483184,1,1
1988427,2147483185,1,1
1988427,2147483186,1,1
1988978,2147483285,1,1
1989285,2147483184,2,2
1989285,2147483185,2,2
1989285,2147483186,2,2
1989465,2147483184,2,2
1989465,2147483185,2,2
1989465,2147483186,2,2
1989465,2147483187,1,1
1989465,2147483188,1,1
1989465,2147483189,1,1
1989465,2147483190,1,1
1989465,2147483191,1,1
1989465,2147483192,1,1
1989465,2147483193,1,1
1989465,2147483194,1,1
1989465,2147483195,1,1
1989465,2147483196,1,1
1989465,2147483197,1,1
1989465,2147483198,1,1
1989465,2147483199,1,1
1989465,2147483200,1,1
1989465,2147483201,1,1
1989465,2147483202,1,1
1989465,2147483203,1,1
1989465,2147483204,1,1
1989465,2147483205,1,1
1989465,2147483206,1,1
1989465,2147483207,1,1
1989465,2147483208,1,1
1989465,2147483209,1,1
1989465,2147483527,1,1
1989465,2147483528,1,1
1989465,2147483529,1,1
1989465,2147483530,1,1
1989465,2147483531,1,1
1989572,2147483488,1,1
1989572,2147483489,1,1
1989572,2147483490,1,1
1989572,2147483491,1,1
1989572,2147483492,1,1
1989572,2147483493,1,1
1991050,2147483081,4,4
2108255,2147483617,1,1
3000991,2147483081,2,2
3004249,2147483130,1,1
3004537,2147483261,1,1
3005833,2147483081,2,2
3005833,2147483626,2,2
3006292,2147483241,1,1
3006604,2147483588,1,1
3006604,2147483610,1,1
3007408,2147483473,4,4
3009663,2147483257,1,1
3009663,2147483259,1,1
3011367,2147483626,1,1
3012290,2147483473,3,3
3014826,2147483512,1,1
3015648,2147483565,1,1
3018929,2147483081,2,2
3019060,2147483081,2,2
3019948,2147483473,2,2
3020891,2147483081,1,1
3022200,2147483081,2,2
3022313,2147483081,2,2
3023033,2147483473,1,1
3023227,2147483081,2,2
3023757,2147483081,2,2
3024171,2147483234,1,1
3024171,2147483303,1,1
3025315,2147483076,1,1
3026129,2147483605,1,1
3027442,2147483494,1,1
3027598,2147483131,1,1
3028899,2147483233,1,1
3031203,2147483130,2,2
3031203,2147483131,2,2
3031443,2147483081,2,2
3032445,2147483079,1,1
3032628,2147483076,3,3
3034488,2147483553,1,1
3034488,2147483554,1,1
3035146,2147483640,1,1
3037253,2147483497,1,1
3037253,2147483498,1,1
3037253,2147483499,1,1
3039402,2147483081,2,2
3039458,2147483076,2,2
3039856,2147483171,1,1
3040302,2147483076,3,3
3041849,2147483081,2,2
3041887,2147483130,2,2
3042095,2147483081,2,2
3043970,2147483253,1,1
3044307,2147483081,4,4
3044307,2147483130,4,4
3044307,2147483131,4,4
3044307,2147483234,3,3
3044307,2147483303,3,3
3044313,2147483081,3,3
3044313,2147483130,3,3
3044313,2147483131,3,3
3044313,2147483234,2,2
3044313,2147483303,2,2
3046004,2147483573,1,1
3046430,2147483137,1,1
3048596,2147483076,2,2
3048886,2147483076,4,4
3049518,2147483076,3,3
3050129,2147483076,3,3
3050381,2147483532,1,1
3050402,2147483076,3,3
3050726,2147483076,3,3
3053322,2147483076,3,3
3654838,2147483229,1,1
3654838,2147483230,1,1
3966107,2147483133,2,2
3966107,2147483281,2,2
3966107,2147483567,2,2
3967176,2147483076,3,3
4001217,2147483120,3,3
4001217,2147483220,4,4
4001217,2147483221,4,4
4001217,2147483294,3,3
4001695,2147483609,4,4
4001858,2147483611,4,4
4002031,2147483609,7,7
4002365,2147483609,5,5
4002726,2147483305,4,4
4002726,2147483514,4,4
4003041,2147483611,5,5
4003394,2147483139,1,1
4011079,2147483591,1,1
4011079,2147483604,1,1
4012185,2147483609,6,8
4012185,2147483617,3,4
4012484,2147483613,3,3
4013065,2147483097,2,2
4013065,2147483098,2,2
4013065,2147483099,2,2
4013065,2147483100,2,2
4013065,2147483101,2,2
4013065,2147483102,2,2
4013065,2147483103,2,2
4013065,2147483104,2,2
4013065,2147483105,2,2
4013065,2147483224,2,2
4013361,2147483609,4,4
4020467,2147483609,3,3
4020553,2147483123,3,3
4020553,2147483626,2,2
4021166,2147483148,4,4
4021166,2147483219,4,4
4021166,2147483223,2,2
4021166,2147483225,3,3
4021166,2147483227,3,3
4021166,2147483260,4,4
4021179,2147483228,2,2
4021186,2147483220,2,2
4021186,2147483221,2,2
4021200,2147483148,3,3
4021200,2147483225,2,2
4021200,2147483227,2,2
4021316,2147483305,2,2
4021316,2147483514,2,2
4021330,2147483220,3,3
4021330,2147483221,3,3
4021679,2147483250,1,1
4021768,2147483216,5,5
4021768,2147483563,2,2
4021768,2147483564,2,2
4021778,2147483495,4,4
4022130,2147483222,1,1
4022240,2147483487,1,1
4022675,2147483496,3,3
4022804,2147483613,3,3
4023112,2147483611,1,1
4024573,2147483503,4,4
4024573,2147483504,4,4
4024573,2147483505,4,4
4024573,2147483506,4,4
4024574,2147483139,4,4
4024618,2147483219,3,3
4024711,2147483600,5,5
4024711,2147483601,5,5
4024728,2147483625,5,5
4024743,2147483260,3,3
4024749,2147483587,2,2
4025205,2147483140,2,2
4025208,2147483139,4,5
4025208,2147483141,2,2
4025208,2147483142,2,2
4025208,2147483143,2,2
4025208,2147483145,2,2
4027003,2147483124,3,3
4027003,2147483125,3,3
4027003,2147483126,3,3
4027403,2147483611,5,5
4027403,2147483617,5,6
4027403,2147483618,3,3
4027403,2147483619,4,4
4027403,2147483620,4,4
4027403,2147483621,4,4
4028902,2147483097,4,7
4028902,2147483098,4,7
4028902,2147483099,4,7
4028902,2147483100,4,7
4028902,2147483101,4,7
4028902,2147483102,4,7
4028902,2147483103,4,7
4028902,2147483104,4,7
4028902,2147483105,4,7
4028902,2147483224,4,7
4028902,2147483295,7,7
4028902,2147483590,6,6
4028902,2147483602,8,8
4028902,2147483603,6,6
4029205,2147483097,5,8
4029205,2147483098,5,8
4029205,2147483099,5,8
4029205,2147483100,5,8
4029205,2147483101,5,8
4029205,2147483102,5,8
4029205,2147483103,5,8
4029205,2147483104,5,8
4029205,2147483105,5,8
4029205,2147483120,4,4
4029205,2147483123,5,8
4029205,2147483220,5,5
4029205,2147483221,5,5
4029205,2147483224,5,8
4029205,2147483228,4,5
4029205,2147483244,3,3
4029205,2147483291,4,4
4029205,2147483294,4,4
4029205,2147483295,5,8
4029205,2147483305,5,5
4029205,2147483469,6,7
4029205,2147483470,8,9
4029205,2147483471,5,5
4029205,2147483472,5,5
4029205,2147483502,7,8
4029205,2147483507,5,9
4029205,2147483509,5,11
4029205,2147483510,5,11
4029205,2147483511,5,11
4029205,2147483514,5,5
4029205,2147483515,4,4
4029205,2147483516,4,4
4029205,2147483517,4,4
4029205,2147483533,7,10
4029205,2147483534,6,8
4029205,2147483535,6,8
4029205,2147483536,6,7
4029205,2147483544,4,4
4029205,2147483549,5,5
4029205,2147483551,5,5
4029205,2147483587,4,4
4029205,2147483590,7,7
4029205,2147483602,9,9
4029205,2147483603,7,7
4029205,2147483608,5,8
4029205,2147483609,4,11
4029205,2147483611,5,9
4029205,2147483612,5,5
4029205,2147483613,6,9
4029205,2147483614,4,9
4029205,2147483615,6,9
4029205,2147483616,4,4
4029205,2147483617,5,7
4029205,2147483618,4,7
4029205,2147483619,5,7
4029205,2147483620,5,7
4029205,2147483621,5,7
4029205,2147483622,6,8
4029205,2147483623,8,8
4029205,2147483624,8,9
4029205,2147483626,7,7
4029205,2147483628,6,8
4029205,2147483629,6,7
4029205,2147483630,7,8
4029205,2147483631,5,5
4029205,2147483632,5,5
4029205,2147483633,7,10
4029205,2147483635,7,10
4029205,2147483636,5,8
4029205,2147483638,6,6
4029205,2147483639,6,6
4029205,2147483644,5,6
4029625,2147483568,2,2
4029625,2147483569,2,2
4029714,2147483608,2,2
4029714,2147483622,3,3
4029714,2147483633,4,4
4029714,2147483635,5,5
4029714,2147483636,3,3
