"source_code_set","source_category","source_domain","source_code","source_concept_id","source_vocabulary_id","source_description","source_description_synonym","relationship_id","predicate_id","confidence","target_concept_id","target_concept_name","target_vocabulary_id","target_domain_id","author_label","reviewer_label","reviewer_comments","mapping_justification","mapping_tool","mapping_tool_version"
"HPO","HPO","Condition","HP_0020085","37429930","HPO","Infection following live vaccination","","Maps to","skos:exactMatch","1","4309924","Infection following immunization","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0020082","37429929","HPO","Heinz bodies","","Maps to","skos:exactMatch","1","4094761","Heinz bodies","SNOMED","Condition","Tiffany J. Callahan","Polina Talapova","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0020081","37429928","HPO","Pappenheimer bodies","","Maps to","skos:exactMatch","1","4097600","Pappenheimer bodies","SNOMED","Condition","Tiffany J. Callahan","Polina Talapova","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0020076","37429923","HPO","Wrist ganglion","Ganglion cyst of the wrist","Maps to","skos:exactMatch","1","4003132","Ganglion of wrist","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0020075","37429922","HPO","Leucine crystalluria","","Maps to","skos:exactMatch","1","4009583","Urinary crystal, leucine","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0020074","37429921","HPO","Crystalluria","","Maps to","skos:exactMatch","1","4188213","Crystalluria","SNOMED","Condition","Tiffany J. Callahan","Polina Talapova","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0020071","37429918","HPO","Viremia","","Maps to","skos:exactMatch","1","133327","Viremia","SNOMED","Condition","Tiffany J. Callahan","Polina Talapova","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0020064","37429911","HPO","Abnormal eosinophil count","","Maps to","skos:exactMatch","1","4237936","Abnormal eosinophil production","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Measurement","HP_0020062","37429910","HPO","Decreased hemoglobin concentration","Decreased haemoglobin concentration | Decreased Hb concentration","Maps to","skos:exactMatch","1","4013074","Hemoglobin below reference range","SNOMED","Measurement","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Measurement","HP_0020061","37429909","HPO","Abnormal hemoglobin concentration","Abnormal haemoglobin concentration | Abnormal Hb concentration","Maps to","skos:exactMatch","1","4095337","Abnormal hemoglobin measurement","SNOMED","Measurement","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Measurement","HP_0020058","37429906","HPO","Abnormal red blood cell count","Abnormal RBC count","Maps to","skos:exactMatch","1","4013518","Red blood cell count outside reference range","SNOMED","Measurement","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0020046","37429894","HPO","Accommodative esotropia","","Maps to","skos:exactMatch","1","381027","Accommodative esotropia","SNOMED","Condition","Tiffany J. Callahan","Polina Talapova","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0020042","37429890","HPO","Double depressor palsy","","Maps to","skos:exactMatch","1","4339029","Double depressor palsy","SNOMED","Condition","Tiffany J. Callahan","Polina Talapova","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0020041","37429889","HPO","Double elevator palsy","","Maps to","skos:exactMatch","1","4339028","Double elevator palsy","SNOMED","Condition","Tiffany J. Callahan","Polina Talapova","","semapv:ManualMappingCuration","",""
"HPO","HPO","Meas Value","HP_0020034","37429882","HPO","Diffuse","","Maps to","skos:exactMatch","1","4055872","Diffuse","SNOMED","Meas Value","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0030840","37429863","HPO","Ankle pain","","Maps to","skos:exactMatch","1","4090553","Ankle pain","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012905","37429847","HPO","Euryblepharon","","Maps to","skos:exactMatch","1","4268880","Euryblepharon","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012889","37429831","HPO","Cervical endometriosis","","Maps to","skos:exactMatch","1","4189364","Endometriosis of cervix","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
