ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
"4159405","2061501602","1","1"
"46286019","2062498109","1","1"
"4189544","2061505871","1","1"
"4223723","2061502182","1","1"
"4048506","2061506287","1","1"
"4223723","2062507482","1","1"
"4090192","2062508516","1","1"
"36118942","2062504529","1","1"
"1511004","2062502150","1","1"
"785649","2062502393","1","1"
"435713","2062498103","1","1"
"1988205","2061500893","1","1"
"4073442","2061501889","1","1"
"21495000","2061502005","1","1"
"19095164","2062504507","1","1"
"2061500848","21490812","1","1"
"989878","2062501336","1","1"
"9201","2062495420","1","1"
"439388","2061500965","1","1"
"4239442","2061502103","1","1"
"2061502079","1989190","1","1"
"36118947","2062504528","1","1"
"4326744","2061500664","1","1"
"1759196","2062504530","1","1"
"4224910","2061500519","1","1"
"4018618","2061501837","1","1"
"44790744","2062497986","1","1"
"2061501335","40073857","1","1"
"1759196","2062504528","1","1"
"2061502113","36031885","1","1"
"44811868","2061505860","1","1"
"21125875","2062502923","1","1"
"21125875","2062504476","1","1"
"2061505814","4008293","1","1"
"2061505831","2213269","1","1"
"4013964","2061501600","1","1"
"4269442","2061502283","1","1"
"43532998","2062501110","1","1"
"4190196","2062502954","1","1"
"45757839","2062504586","1","1"
"44973921","2061501977","1","1"
"2061501332","40147905","1","1"
"2061500422","35605731","1","1"
"1315376","2062500545","1","1"
"9201","2062508420","1","1"
"4190196","2062501330","1","1"
"9203","2061507273","1","1"
"21125875","2062501180","1","1"
"36660691","2061501578","1","1"
"44791204","2062498012","1","1"
"766529","2061500467","1","1"
"9201","2062495411","1","1"
"45766147","2061501042","1","1"
"4052413","2061501817","1","1"
"21495000","2061500561","1","1"
"732893","2062502007","1","1"
"9201","2062495435","1","1"
"4190104","2061502175","1","1"
"36032223","2061500847","1","1"
"40483855","2061502142","1","1"
"9201","2062495434","1","1"
"4103707","2061501442","1","1"
"2061500658","1989079","1","1"
"2061501341","35602788","1","1"
"42903796","2062500955","1","1"
"9201","2062508416","1","1"
"2213329","2061505769","1","1"
"1707687","2062504415","1","1"
"4190196","2062503616","1","1"
"4133843","2061503806","1","1"
"2061501339","40093131","1","1"
"2061502063","40130963","1","1"
"9201","2062508418","1","1"
"4189544","2061501148","1","1"
"4159405","2061501595","1","1"
"4159406","2061501562","1","1"
"9201","2061509466","1","1"
"2061502066","36880883","1","1"
"441589","2062499127","1","1"
"19000811","2062503693","1","1"
"2061501792","35774785","1","1"
"45758338","2062500665","1","1"
"42873108","2061502265","1","1"
"732893","2062502005","1","1"
"4190104","2061501435","1","1"
"4189544","2061501217","1","1"
"19091693","2061502207","1","1"
"37204082","2061501932","1","1"
"45757839","2062500164","1","1"
"21125875","2062504555","1","1"
"4190104","2061502171","1","1"
"2061500445","46275863","1","1"
"36118947","2062504532","1","1"
"715233","2062500360","1","1"
"4023093","2061506246","1","1"
"4190196","2062503603","1","1"
"987153","2062503690","1","1"
"19095164","2062501094","1","1"
"581385","2061506507","1","1"
"3016946","2061500857","1","1"
"4058393","2061505819","1","1"
"35609185","2062498020","1","1"
"1309944","2061501969","1","1"
"2061501793","1356102","1","1"
"4159405","2061501608","1","1"
"9201","2062508425","1","1"
"21125875","2062503607","1","1"
"21125875","2062501765","1","1"
"36849891","2062502172","1","1"
"21125875","2062503643","1","1"
"4044710","2061500603","1","1"
"4269442","2061501379","1","1"
"21125875","2062504080","1","1"
"21145611","2062503619","1","1"
"37204082","2061501937","1","1"
"19010496","2062504580","1","1"
"19106973","2062503292","1","1"
"2061500571","44816680","1","1"
"4159406","2061501576","1","1"
"19010309","2062504040","1","1"
"9201","2062495444","1","1"
"44790727","2062498085","1","1"
"21125875","2062501325","1","1"
"2061502129","40769146","1","1"
"4107893","2061505830","1","1"
"44791204","2062498030","1","1"
"4048506","2061506286","1","1"
"4237865","2061500556","1","1"
"948078","2061501336","1","1"
"4190196","2062503010","1","1"
"2061505356","4002895","1","1"
"9201","2062495442","1","1"
"4190196","2062503651","1","1"
"4238738","2061500648","1","1"
"4190196","2062501329","1","1"
"4190196","2062503654","1","1"
"4060257","2061501815","1","1"
"36855707","2062502235","1","1"
"4221102","2061501915","1","1"
"44791204","2062497977","1","1"
"42873108","2061502268","1","1"
"36857901","2062502175","1","1"
"9201","2062495440","1","1"
"21125875","2062500945","1","1"
"36850812","2062502142","1","1"
"4065273","2061500562","1","1"
"1154029","2062501653","1","1"
"21125875","2062503596","1","1"
