vocabulary_id,vocabulary_name,vocabulary_reference,vocabulary_version,vocabulary_concept_id
"MIMIC4","MIMIC4 Custom Terminology","OMOP generated","2026-05-28","2062499999"
"None","OMOP Standardized Vocabularies","OMOP generated","MIMIC4_2026-05-28","44819096"
