concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
"2061509030","3042548","Maps to","2025-05-07","2099-12-31",
"2062495332","19047817","Maps to","2026-05-28","2099-12-31",
"2062498070","44791698","Is a","2026-05-28","2099-12-31",
"2062497648","441201","Maps to","2026-05-28","2099-12-31",
"2062506202","40165000","Maps to","2026-05-28","2099-12-31",
"2061504046","3023520","Maps to","2025-05-07","2099-12-31",
"2062508092","37003640","Maps to","2026-05-28","2099-12-31",
"2062494856","19105356","Maps to","2026-05-28","2099-12-31",
"2062494631","961145","Maps to","2026-05-28","2099-12-31",
"2062498909","1340204","Maps to","2026-05-28","2099-12-31",
"2061507402","1145379","Maps to","2025-05-07","2099-12-31",
"2062506336","35603227","Maps to","2026-05-28","2099-12-31",
"2062494329","19113470","Maps to","2026-05-28","2099-12-31",
"2062494852","19083332","Maps to","2026-05-28","2099-12-31",
"2062494735","19130116","Maps to","2026-05-28","2099-12-31",
"2061506556","42799917","Maps to","2025-05-07","2099-12-31",
"2062498046","2062498046","Maps to","2026-05-28","2099-12-31",
"2062499725","38001305","Maps to","2026-05-28","2099-12-31",
"2062504288","35602724","Maps to","2026-05-28","2099-12-31",
"40080152","2061501338","Is a","2025-05-07","2099-12-31",
"2061504855","4209601","Maps to","2025-05-07","2099-12-31",
"2061502067","19054242","Maps to","2025-05-07","2099-12-31",
"2061500705","4027142","Is a","2025-05-07","2099-12-31",
"2062504153","19125745","Maps to","2026-05-28","2099-12-31",
"2062496614","40488434","Maps to","2026-05-28","2099-12-31",
"2062506563","40232252","Maps to","2026-05-28","2099-12-31",
"21492835","2061502110","Is a","2025-05-07","2099-12-31",
"2061508237","9662","Maps to","2025-05-07","2099-12-31",
"2062501412","42629553","Maps to","2026-05-28","2099-12-31",
"2061503350","2109088","Maps to","2025-05-07","2099-12-31",
"2062501188","19075955","Maps to","2026-05-28","2099-12-31",
"2061500848","40480257","Subsumes","2025-05-07","2099-12-31",
"40166807","2062500891","Mapped from","2026-05-28","2099-12-31",
"2062503945","967434","Maps to","2026-05-28","2099-12-31",
"3019174","2061504637","Mapped from","2025-05-07","2099-12-31",
"4201388","2062498818","Mapped from","2026-05-28","2099-12-31",
"1195492","2061507432","Mapped from","2025-05-07","2099-12-31",
"2061506145","4055349","Maps to","2025-05-07","2099-12-31",
"46272734","2062497331","Mapped from","2026-05-28","2099-12-31",
"19127915","2062504458","Mapped from","2026-05-28","2099-12-31",
"2061501942","2061501942","Maps to","2025-05-07","2099-12-31",
"4157986","2061509917","Relat context of","2025-05-07","2099-12-31",
"2062506171","1154030","Maps to","2026-05-28","2099-12-31",
