mapping_concept_id,mapping_concept_code,confidence,predicate_id,mapping_justification,mapping_provider,author_id,author_label,reviewer_id,reviewer_label,mapping_tool,mapping_tool_version
"4720","50859|| - ||MIMIC4|| - ||12173-1|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4721","50860|| - ||MIMIC4|| - ||1834-1|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4791","50928|| - ||MIMIC4|| - ||2333-3|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4794","50931|| - ||MIMIC4|| - ||2345-7|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4798","50936|| - ||MIMIC4|| - ||19080-1|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4806","50944|| - ||MIMIC4|| - ||5220-9|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4821","50957|| - ||MIMIC4|| - ||14334-7|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4841","50977|| - ||MIMIC4|| - ||6694-4|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4869","51002|| - ||MIMIC4|| - ||10839-9|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4871","51004|| - ||MIMIC4|| - ||2250-9|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4928","51069|| - ||MIMIC4|| - ||14957-5|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4981","51123|| - ||MIMIC4|| - ||30409-7|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4993","51136|| - ||MIMIC4|| - ||27810-1|| - ||LOINC","1","skos:exactMatch","semapv:LexicalSimilarityThresholdMatching","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"4998","51141|| - ||MIMIC4|| - ||4632-6|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5066","51211|| - ||MIMIC4|| - ||27815-0|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5068","51213|| - ||MIMIC4|| - ||30226-5|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5129","51274|| - ||MIMIC4|| - ||5902-2|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5130","51275|| - ||MIMIC4|| - ||14979-9|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5148","51293|| - ||MIMIC4|| - ||13534-3|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5150","51295|| - ||MIMIC4|| - ||57439-2|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5157","51302|| - ||MIMIC4|| - ||55433-7|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5158","51303|| - ||MIMIC4|| - ||51216-0|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5190","51335|| - ||MIMIC4|| - ||44061-0|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5191","51336|| - ||MIMIC4|| - ||55864-3|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5213","51381|| - ||MIMIC4|| - ||30410-5|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5283","51453|| - ||MIMIC4|| - ||30408-9|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5288","51459|| - ||MIMIC4|| - ||55433-7|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5307","51478|| - ||MIMIC4|| - ||5792-7|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5321","51492|| - ||MIMIC4|| - ||5804-0|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5335","51506|| - ||MIMIC4|| - ||5767-9|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5337","51508|| - ||MIMIC4|| - ||5778-6|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5350","51556|| - ||MIMIC4|| - ||5382-7|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5351","51557|| - ||MIMIC4|| - ||8077-0|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5352","51558|| - ||MIMIC4|| - ||8091-1|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5353","51559|| - ||MIMIC4|| - ||8093-7|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5354","51560|| - ||MIMIC4|| - ||94562-6|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5355","51562|| - ||MIMIC4|| - ||66878-0|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5356","51563|| - ||MIMIC4|| - ||14252-1|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5358","51568|| - ||MIMIC4|| - ||33898-8|| - ||LOINC","1","skos:exactMatch","semapv:LexicalSimilarityThresholdMatching","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5359","51569|| - ||MIMIC4|| - ||15152-2|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5360","51570|| - ||MIMIC4|| - ||1971-1|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5361","51572|| - ||MIMIC4|| - ||6891-6|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5362","51573|| - ||MIMIC4|| - ||1984-4|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5363","51574|| - ||MIMIC4|| - ||4477-6|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
"5364","51575|| - ||MIMIC4|| - ||4478-4|| - ||LOINC","1","skos:exactMatch","semapv:ManualMappingCuration","https://docs.google.com/spreadsheets/d/1_v1lShEJLtAhBBZEIv8fPTVKjyBOJ-NA_cibyAXMZG8","2","Odysseus Vocabulary Team","0",,,
