vocabulary_id,vocabulary_name,vocabulary_reference,vocabulary_version,vocabulary_concept_id
None,OMOP Standardized Vocabularies,OMOP generated,WAVEFORM_2025-12-05_12:13:23.043243,44819096
WAVEFORM,WAVEFORM Custom Terminology,OMOP generated,2025-12-05,2082499999
